Entity;Code;Year;Country-reported HIV expenditure by funding source - Total
Somalia;SOM;2008;5994773,5
Somalia;SOM;2009;5981773,5
South Africa;ZAF;2006;610975168
South Africa;ZAF;2007;648093868
South Africa;ZAF;2009;2329049277
South Africa;ZAF;2014;1880672908
South Korea;KOR;2009;13178000
South Korea;KOR;2010;11161000
South Korea;KOR;2011;11171000
South Sudan;SSD;2006;260000
South Sudan;SSD;2007;1312767
South Sudan;SSD;2011;31238878
South Sudan;SSD;2012;24154613,65
Spain;ESP;2007;551413158,1
Spain;ESP;2008;916739279,5
Spain;ESP;2009;947070402,3
Spain;ESP;2010;980913999,7
Spain;ESP;2011;1080338130
Spain;ESP;2012;978031084,4
Spain;ESP;2013;919488342,4
Sri Lanka;LKA;2007;1705728,173
Sri Lanka;LKA;2008;1568313
Sri Lanka;LKA;2009;4504057,6
Sri Lanka;LKA;2010;4727896,692
Sri Lanka;LKA;2013;1226938
Sudan;SDN;2008;15985346
Sudan;SDN;2009;15358624
Sudan;SDN;2011;23349252,05
Sudan;SDN;2012;18458156
Sudan;SDN;2013;13840875
Suriname;SUR;2007;500000
Suriname;SUR;2009;4037170,46
Suriname;SUR;2010;6129853,398
Suriname;SUR;2011;4674508,149
Sweden;SWE;2007;0
Sweden;SWE;2008;0
Sweden;SWE;2009;0
Switzerland;CHE;2006;18505748
Switzerland;CHE;2008;14898053,75
Switzerland;CHE;2009;14843028,62
Switzerland;CHE;2010;3067778,736
Switzerland;CHE;2011;3608479,928
Switzerland;CHE;2012;3411877,599
Syria;SYR;2007;1660147
Syria;SYR;2008;2014305
Syria;SYR;2009;2019325
Syria;SYR;2011;809850
Tajikistan;TJK;2006;5210554,813
Tajikistan;TJK;2008;6186978,507
Tajikistan;TJK;2009;7501041,099
Tajikistan;TJK;2010;15293808,7
Tajikistan;TJK;2011;15370003,48
Tajikistan;TJK;2012;12715923,58
Tajikistan;TJK;2013;14077892,87
Tanzania;TZA;2005;266371077
Thailand;THA;2007;199644530,6
Thailand;THA;2008;209123114
Thailand;THA;2009;209106533,9
Thailand;THA;2010;242670428,6
Thailand;THA;2011;325388453,9
Thailand;THA;2012;282888793,7
Thailand;THA;2013;287278782,3
Timor;TLS;2008;1826972,751
Timor;TLS;2009;1803013,71
Togo;TGO;2006;8530266,68
Togo;TGO;2007;14365723,92
Togo;TGO;2008;17238298,52
Togo;TGO;2009;15272333,92
Togo;TGO;2010;24317567,56
Togo;TGO;2011;21971071,5
Togo;TGO;2012;20455090,18
Togo;TGO;2013;26857752,44
Togo;TGO;2014;25321421,32
Tonga;TON;2008;209703,6842
Tonga;TON;2009;310525,7895
Tonga;TON;2010;0
Tonga;TON;2011;0
Tonga;TON;2014;158093,2378
Trinidad and Tobago;TTO;2006;12678331,69
Trinidad and Tobago;TTO;2007;10118410
Trinidad and Tobago;TTO;2008;15442886,03
Trinidad and Tobago;TTO;2009;13810964,92
Tunisia;TUN;2010;3038140
Tunisia;TUN;2011;2742549
Turkey;TUR;2006;54365480
Turkey;TUR;2007;56852200
Turkey;TUR;2012;12291905,01
Tuvalu;TUV;2008;100132,46
Tuvalu;TUV;2009;61294
Tuvalu;TUV;2010;59641
Tuvalu;TUV;2011;177096,4
Tuvalu;TUV;2013;34455
Uganda;UGA;2005;202419252
Uganda;UGA;2007;270011038,8
Uganda;UGA;2008;296649946,1
Ukraine;UKR;2005;40004057,13
Ukraine;UKR;2006;55737389,42
Ukraine;UKR;2007;79354447,14
Ukraine;UKR;2008;102429697,5
Ukraine;UKR;2009;65397491,94
Ukraine;UKR;2010;72838817,08
Ukraine;UKR;2011;107004261,6
Ukraine;UKR;2012;124325856,6
Ukraine;UKR;2015;97737794,11
United Arab Emirates;ARE;2009;17583651,23
United Arab Emirates;ARE;2010;25480829
United Arab Emirates;ARE;2011;30630854,46
United Arab Emirates;ARE;2012;32476416,89
United Kingdom;GBR;2007;1204081633
United Kingdom;GBR;2008;925714285,7
United Kingdom;GBR;2009;80303030,3
Uruguay;URY;2005;6245860,607
Uruguay;URY;2006;5736140,607
Uruguay;URY;2007;14077808,74
Uzbekistan;UZB;2009;15939901,17
Uzbekistan;UZB;2010;23663618,07
Uzbekistan;UZB;2011;19149707,71
Uzbekistan;UZB;2012;24106268,46
Uzbekistan;UZB;2013;21315540,26
Uzbekistan;UZB;2014;19113115,88
Vanuatu;VUT;2008;1092358
Vanuatu;VUT;2009;1114768
Vanuatu;VUT;2010;1661522,911
Vanuatu;VUT;2011;1883490,055
Vanuatu;VUT;2012;328089,4
Vanuatu;VUT;2013;867285,7245
Venezuela;VEN;2007;79818044,67
Venezuela;VEN;2008;71722966,68
Venezuela;VEN;2009;83424284,27
Venezuela;VEN;2010;109663740,2
Venezuela;VEN;2011;80485621,7
Venezuela;VEN;2012;66618451,61
Venezuela;VEN;2013;72603707,85
Vietnam;VNM;2006;47155758
Vietnam;VNM;2007;66280815
Vietnam;VNM;2008;108814493,7
Vietnam;VNM;2009;127374483,3
Vietnam;VNM;2010;139253245
Vietnam;VNM;2011;99844926
Vietnam;VNM;2012;95446487
Yemen;YEM;2009;4955843
Yemen;YEM;2010;2210998
Yemen;YEM;2011;1613920
Zambia;ZMB;2006;189929904
Zambia;ZMB;2012;282218625,7
Zimbabwe;ZWE;2005;89432191
Zimbabwe;ZWE;2006;129516626
Zimbabwe;ZWE;2008;27387121
Zimbabwe;ZWE;2009;90338609,66
Zimbabwe;ZWE;2010;268908534,6
Zimbabwe;ZWE;2011;257657385
Zimbabwe;ZWE;2012;308835446
Zimbabwe;ZWE;2013;253479644
